Time_open,Type,Size,Symbol,Price_open,S/L,T/P,Time_close,Price_close,Swap,Profit,Comment,
2021/03/31 12:00:14,sell,0.01,gbpusd_M15,1.37986,1.38092,1.37825,2021/03/31 12:11:11,1.38092,0,-1.06,Me senti relajado,
2021/03/31 12:31:33,buy,0.03,usdjpy_M15,110.657,110.53,110.71,2021/03/31 13:10:36,110.71,0,1.44,senti control,
2021/03/31 12:33:46,sell,0.03,gpbusd_M5,1.37972,1.38072,1.37864,2021/03/31 13:24:21,1.37864,0,3.24,sentí control,
2021/03/31 16:11:22,sell,0.03,usdjpy_M15,110.663,110.822,110.56,2021/03/31 18:08:40,110.822,0,-4.3,Senti relajado,
2021/03/31 19:56:49,buy,0.03,usdchf_M30,0.94478,0.94357,0.94533,2021/03/31 11:23:01,0.94533,0,1.75,Senti control,
2021/03/31 19:59:07,sell,0.01,xauusd_H1,1706.72,1711.98,1696.79,2021/03/31 21:04:53,1711.98,0,-5.26,Senti control,
2021/04/01 10:01:15,sell,0.01,usdjpy_H1,110.592,110.749,110.368,2021/04/01 08:13:16,110.749,-0.04,-1.42,Sentí control,
2021/04/01 10:11:21,buy,0.02,xageur_H1,21.04,20.87,21.22,2021/04/04 17:02:57,21.22,-0.64,21.17,Senti control,
2021/04/01 14:01:22,sell,0.01,us500_m1_H1,4000.5,4004.5,3992.75,2021/04/01 14:48:26,4004.5,0,-2,Senti control,
2021/04/01 18:58:40,buy,0.02,usdchf_H1,0.94233,0.94284,0.94084,2021/04/01 03:24:03,0.94084,0,-3.17,Senti control,
2021/04/02 10:06:28,buy,0.02,usdchf_H1,0.94309,0.94114,0.94448,2021/04/02 13:01:11,0.94114,0,-4.14,Sentí control,
2021/04/02 10:14:58,sell,0.01,gbpusd_M30,1.38227,1.38447,1.37995,2021/04/04 16:03:32,1.38447,-0.03,-2.2,Senti muy relajado,
2021/04/02 10:25:34,sell,0.01,usdcad_M15,1.25608,1.25739,1.25537,2021/04/02 10:56:22,1.25739,0,-1.04,Me senti con la cabeza fria,
2021/04/05 09:07:38,sell,0.02,gbpusd_M5,1.39001,1.39051,1.38901,2021/04/05 09:31:35,1.39051,0,-1,Me senti con la cabeza fría,
2021/04/05 09:16:18,buy,0.02,usdjpy_M5,110.065,109.98,110.198,2021/04/05 09:31:38,109.98,0,-1.55,Cabeza fría,
2021/04/05 09:41:12,sell,0.02,eurusd_M5,1.1806,1.18155,1.17942,2021/04/05 11:21:44,1.18155,0,-1.9,Cabeza fría,
2021/04/05 09:45:19,sell,0.03,gbpusd_M15,1.38985,1.3907,1.38787,2021/04/05 10:17:13,1.3907,0,-2.55,Cabeza fría,
2021/04/05 09:46:27,buy,0.03,usdjpy_M15,110.068,109.929,110.254,2021/04/05 19:38:12,110.254,0,5.06,Cabeza fría,
2021/04/05 08:45:42,buy,0.04,eurjyp_M15,129.964,129.78,130.158,2021/04/06 09:31:04,130.158,0,7.06,Cabeza fría,
2021/04/05 09:00:42,buy,0.05,usdjpy_M15,109.835,109.642,110.136,2021/04/06 20:06:29,109.642,-0.11,-8.66,Cabeza fría,
2021/04/06 18:41:04,sell,0.05,eurgbp_H1,0.85851,0.85625,0.85625,2021/04/06 00:47:08,0.85625,0,-7.8,Cabeza fría,
2021/04/06 18:45:20,buy,0.05,usdchf_H1,0.93092,0.92945,0.93377,2021/04/07 01:05:01,0.92945,0,-7.91,Cabeza fría,
2021/04/06 18:55:55,sell,0.05,eurusd_H1,1.18724,1.18829,1.18559,2021/04/07 01:35:38,1.18829,0,-5.25,Cabeza fría,
2021/04/07 08:32:42,buy,0.05,gpbusd_M15,1.37577,1.37437,1.37819,2021/04/07 08:39:33,1.37437,0,-7,Cabeza fría,
2021/04/07 08:35:56,buy,0.04,usdchf_H1,0.92873,0.92735,0.9308,2021/04/07 09:27:47,0.92735,0,-5.95,Realado,
2021/04/07 08:41:28,buy,0.01,nat.gas_k1_H1,2.502,2.448,2.547,2021/04/07 09:27:49,2.547,0,14.65,Realajado y Cabeza fria,
2021/04/07 09:15:38,buy,0.05,gbpusd_M15,1.37456,1.37243,1.37749,2021/04/07 09:38:29,2.525,0,2.3,Relajado y Cabeza fria,
2021/04/07 09:47:50,buy,0.07,gbpusd_M15,1.37874,1.37673,1.38091,2021/04/07 10:30:34,1.37673,0,-14.07,Cabeza fría,
2021/04/07 10:02:12,buy,0.01,us30_m1_H1,33347,33284,33427,2021/04/07 10:27:24,33284,0,-3.15,Cabeza fría,
2021/04/07 10:04:39,buy,0.01,us500_m1_H1,4071.75,4060.25,4082.5,2021/04/07 10:40:07,4060.25,0,-5.75,Cabeza fria,
2021/04/07 10:06:15,buy,0.01,us100_m1_H1,13628.5,13507.25,13761,2021/04/07 18:33:45,13634.25,-0.12,1.15,Cabeza fria,
2021/04/07 10:15:16,buy,0.05,usdjpy_M15,109.66,109.574,109.574,2021/04/07 12:48:32,109.746,0,3.92,Realajado y Cabeza fria,
2021/04/07 13:31:22,buy,0.05,nzdusd_M15,0.70135,0.7004,0.70355,2021/04/07 14:00:00,0.7004,0,-4.75,Relajado,
2021/04/07 17:00:36,sell ,0.07,eurgbp_M15,0.86391,0.86536,0.86181,2021/04/08 03:47:33,0.86536,0,-13.93,Relajado,
2021/04/07 20:19.51,sell,0.01,xauusd_H1,1733.56,1735.7,1730.97,2021/04/07 20:28:10,1735.7,0,-2.14,Relajado,
2021/04/07 20:09:45,sell,0.08,usdjpy_M15,109.74,109.817,109.655,2021/04/08 00:40:39,109.655,0,6.2,Relajado y Cabeza fria,
2021/04/08 09:00:11,buy,0.08,eurjpy_M30,129.827,129.618,130.068,2021/04/08 10:05:28,130.068,0,17.65,Cabeza fría,
2021/04/08 14:15:43,sell,0.03,eurusd_M15,1.1912,1.192,1.1902,2021/04/08 16:09:24,1.192,-0.06,-2.4,Cabeza fría ,
2021/04/08 14:38:55,buy,0.03,usdjpy_M30,109.32,109.156,109.491,2021/04/09 02:30:35,109.491,-0.06,4.69,Cabeza fría,
